model_key,repo_id,family,tier,params_b,checkpoint_gib,n_shards,bytes_per_param,experiment,condition,p50_ms,p95_ms,stdev_ms,rsd,n_trials,throughput_mib_s,gpu,device_class,reliable
bloomz-560m,bigscience/bloomz-560m,bloom,small,0.56,1.042,1,1.998,checkpoint_format,pytorch_bin,902.46,1190.88,139.69,0.1548,5,1182.34,Tesla T4,t4,True
qwen3-0.6b,Qwen/Qwen3-0.6B,qwen3,small,0.6,1.4,1,2.505,checkpoint_format,pytorch_bin,1850.08,2485.44,422.23,0.2282,5,774.89,Tesla T4,t4,True
gpt2-medium,openai-community/gpt2-medium,gpt2,small,0.355,1.416,1,4.283,checkpoint_format,pytorch_bin,1166.8,1244.53,39.12,0.0335,5,1242.71,Tesla T4,t4,True
tinyllama-1.1b-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,small,1.1,2.049,1,2.0,checkpoint_format,pytorch_bin,1988.33,2160.62,231.27,0.1163,5,1055.24,Tesla T4,t4,True
deepseek-coder-1.3b,deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,small,1.35,2.508,1,1.995,checkpoint_format,pytorch_bin,2192.96,2620.15,215.68,0.0984,5,1171.11,Tesla T4,t4,True
pythia-1.4b,EleutherAI/pythia-1.4b,pythia,small,1.4,2.729,1,2.093,checkpoint_format,pytorch_bin,3503.16,4721.1,598.47,0.1708,5,797.71,Tesla T4,t4,True
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,qwen2.5,small,1.54,2.875,1,2.005,checkpoint_format,pytorch_bin,2783.45,4950.61,1080.88,0.3883,5,1057.68,Tesla T4,t4,False
qwen2.5-coder-1.5b,Qwen/Qwen2.5-Coder-1.5B-Instruct,qwen2.5-coder,small,1.54,2.875,1,2.005,checkpoint_format,pytorch_bin,2740.7,3540.9,428.0,0.1562,5,1074.18,Tesla T4,t4,True
gpt2-large,openai-community/gpt2-large,gpt2,small,0.774,3.024,1,4.195,checkpoint_format,pytorch_bin,3598.93,5390.23,835.21,0.2321,5,860.42,Tesla T4,t4,True
falcon3-1b,tiiuae/Falcon3-1B-Instruct,falcon3,small,1.0,3.11,1,3.339,checkpoint_format,pytorch_bin,3594.21,6537.42,1394.48,0.388,5,886.05,Tesla T4,t4,False
smollm2-1.7b,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,small,1.71,3.188,1,2.002,checkpoint_format,pytorch_bin,3392.74,5465.0,980.37,0.289,5,962.21,Tesla T4,t4,True
bloom-1b7,bigscience/bloom-1b7,bloom,small,1.7,3.208,1,2.026,checkpoint_format,pytorch_bin,3475.35,7047.18,1786.19,0.514,5,945.23,Tesla T4,t4,False
deepseek-r1-distill-qwen-1.5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-r1,small,1.78,3.31,1,1.997,checkpoint_format,pytorch_bin,3407.89,8064.1,2245.43,0.6589,5,994.59,Tesla T4,t4,False
qwen3-1.7b,Qwen/Qwen3-1.7B,qwen3,small,1.7,3.784,2,2.39,checkpoint_format,pytorch_bin,4360.76,8873.03,2432.73,0.5579,5,888.56,Tesla T4,t4,False
granite-3.1-2b,ibm-granite/granite-3.1-2b-instruct,granite,small,2.53,4.719,2,2.003,checkpoint_format,pytorch_bin,21260.61,21322.24,43.08,0.002,5,227.29,Tesla T4,t4,True
phi-2,microsoft/phi-2,phi,small,2.78,5.178,2,2.0,checkpoint_format,pytorch_bin,23573.88,23775.34,148.26,0.0063,5,224.92,Tesla T4,t4,True
